zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:52:27.562;100;1;0;90.855;1100.660;0.907;0.739;2.085;0.467;100;100;0
11.08.2025 16:52:27.562;100;1;1;97.610;1024.489;0.975;0.832;1.825;0.438;100;100;0
11.08.2025 16:52:27.562;100;1;2;70.947;1409.503;0.709;0.676;0.957;0.160;100;100;0
11.08.2025 16:52:27.562;100;1;3;65.720;1521.618;0.656;0.634;0.894;0.137;100;100;0
11.08.2025 16:52:27.562;100;1;4;66.503;1503.696;0.664;0.644;0.913;0.122;100;100;0
11.08.2025 16:52:27.562;100;1;5;65.442;1528.064;0.654;0.634;0.942;0.129;100;100;0
11.08.2025 16:52:27.562;100;1;6;68.218;1465.889;0.681;0.654;0.912;0.132;100;100;0
11.08.2025 16:52:27.562;100;1;7;68.138;1467.621;0.681;0.648;0.928;0.148;100;100;0
11.08.2025 16:52:27.562;100;1;8;73.724;1356.407;0.736;0.705;1.003;0.192;100;100;0
11.08.2025 16:52:27.562;100;1;9;119.018;840.210;1.188;0.978;2.407;0.556;100;100;0
11.08.2025 16:52:27.562;100;1;10;96.740;1033.700;0.966;0.877;1.662;0.336;100;100;0
11.08.2025 16:52:27.562;100;1;11;166.380;601.035;1.662;1.406;3.177;0.815;100;100;0
11.08.2025 16:52:27.562;100;1;12;143.097;698.828;1.429;1.237;2.494;0.616;100;100;0
11.08.2025 16:52:27.562;100;1;13;87.349;1144.828;0.872;0.865;1.175;0.158;100;100;0
11.08.2025 16:52:27.562;100;1;14;86.977;1149.729;0.869;0.850;1.147;0.143;100;100;0
11.08.2025 16:52:27.562;100;1;15;92.558;1080.407;0.924;0.901;1.307;0.201;100;100;0
11.08.2025 16:52:27.562;100;1;16;80.188;1247.066;0.801;0.795;1.089;0.157;100;100;0
11.08.2025 16:52:27.562;100;1;17;71.540;1397.814;0.715;0.681;0.943;0.137;100;100;0
11.08.2025 16:52:27.562;100;1;18;74.920;1334.761;0.748;0.727;1.085;0.156;100;100;0
11.08.2025 16:52:27.562;100;1;19;67.771;1475.560;0.677;0.658;0.953;0.151;100;100;0
11.08.2025 16:52:27.562;100;1;20;69.558;1437.653;0.695;0.660;0.957;0.164;100;100;0
11.08.2025 16:52:27.562;100;1;21;62.236;1606.800;0.622;0.599;0.812;0.112;100;100;0
11.08.2025 16:52:27.562;100;1;22;66.542;1502.815;0.665;0.648;0.903;0.121;100;100;0
11.08.2025 16:52:27.562;100;1;23;66.884;1495.133;0.668;0.644;0.955;0.139;100;100;0
11.08.2025 16:52:27.562;100;1;24;63.525;1574.196;0.635;0.621;0.826;0.113;100;100;0
11.08.2025 16:52:27.562;100;1;25;60.094;1664.068;0.600;0.588;0.817;0.107;100;100;0
11.08.2025 16:52:27.562;100;1;26;65.716;1521.709;0.656;0.636;0.907;0.131;100;100;0
11.08.2025 16:52:27.562;100;1;27;69.975;1429.074;0.699;0.644;1.137;0.196;100;100;0
11.08.2025 16:52:27.562;100;1;28;98.541;1014.806;0.984;0.919;1.792;0.371;100;100;0
11.08.2025 16:52:27.562;100;1;29;110.044;908.728;1.099;0.983;1.905;0.426;100;100;0
11.08.2025 16:52:27.562;100;1;30;103.178;969.198;1.031;0.974;1.544;0.281;100;100;0
11.08.2025 16:52:27.562;100;1;31;89.388;1118.716;0.892;0.834;1.388;0.253;100;100;0
11.08.2025 16:52:27.562;100;1;32;80.152;1247.623;0.800;0.779;1.078;0.157;100;100;0
11.08.2025 16:52:27.562;100;1;33;75.268;1328.589;0.752;0.717;1.093;0.177;100;100;0
11.08.2025 16:52:27.562;100;1;34;63.342;1578.726;0.633;0.610;0.824;0.110;100;100;0
11.08.2025 16:52:27.562;100;1;35;66.921;1494.290;0.669;0.644;0.925;0.128;100;100;0
11.08.2025 16:52:27.562;100;1;36;67.514;1481.174;0.674;0.649;0.908;0.121;100;100;0
11.08.2025 16:52:27.562;100;1;37;66.400;1506.026;0.663;0.628;0.923;0.160;100;100;0
11.08.2025 16:52:27.562;100;1;38;74.979;1333.707;0.749;0.733;1.067;0.170;100;100;0
11.08.2025 16:52:27.562;100;1;39;84.814;1179.048;0.847;0.822;1.122;0.161;100;100;0
11.08.2025 16:52:27.562;100;1;40;79.725;1254.315;0.796;0.774;1.114;0.173;100;100;0
11.08.2025 16:52:27.562;100;1;41;69.007;1449.139;0.689;0.641;0.913;0.147;100;100;0
11.08.2025 16:52:27.562;100;1;42;74.364;1344.742;0.743;0.513;0.899;1.674;100;100;0
11.08.2025 16:52:27.562;100;1;43;53.097;1883.346;0.530;0.508;0.770;0.134;100;100;0
11.08.2025 16:52:27.562;100;1;44;56.118;1781.963;0.560;0.475;0.856;0.578;100;100;0
11.08.2025 16:52:27.562;100;1;45;40.999;2439.108;0.409;0.351;0.620;0.116;100;100;0
11.08.2025 16:52:27.562;100;1;46;41.110;2432.528;0.410;0.348;0.659;0.138;100;100;0
11.08.2025 16:52:27.562;100;1;47;45.042;2220.165;0.450;0.460;0.687;0.128;100;100;0
11.08.2025 16:52:27.562;100;1;48;53.327;1875.237;0.532;0.568;0.821;0.177;100;100;0
11.08.2025 16:52:27.562;100;1;49;66.371;1506.675;0.663;0.675;0.868;0.155;100;100;0
11.08.2025 16:52:27.562;100;1;50;56.220;1778.717;0.561;0.568;0.862;0.175;100;100;0
