zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:54:16.333;10;8;0;3.655;2735.828;0.960;0.909;1.170;0.110;10;10;0
11.08.2025 16:54:16.333;10;8;1;4.780;2091.963;1.429;1.266;2.456;0.529;10;10;0
11.08.2025 16:54:16.333;10;8;2;3.046;3282.671;1.126;0.992;1.679;0.279;10;10;0
11.08.2025 16:54:16.333;10;8;3;4.186;2389.144;1.270;1.141;1.801;0.311;10;10;0
11.08.2025 16:54:16.333;10;8;4;3.992;2504.822;1.219;1.120;1.629;0.247;10;10;0
11.08.2025 16:54:16.333;10;8;5;3.342;2992.489;1.089;0.982;1.676;0.257;10;10;0
11.08.2025 16:54:16.333;10;8;6;3.400;2941.436;1.370;1.188;2.108;0.376;10;10;0
11.08.2025 16:54:16.333;10;8;7;4.046;2471.699;1.180;1.058;1.625;0.231;10;10;0
11.08.2025 16:54:16.333;10;8;8;3.395;2945.855;1.074;0.967;1.548;0.207;10;10;0
11.08.2025 16:54:16.333;10;8;9;4.911;2036.245;1.320;1.183;1.948;0.296;10;10;0
11.08.2025 16:54:16.333;10;8;10;3.218;3108.003;1.095;0.990;1.529;0.268;10;10;0
11.08.2025 16:54:16.333;10;8;11;3.278;3050.455;1.049;1.028;1.315;0.164;10;10;0
11.08.2025 16:54:16.333;10;8;12;4.105;2435.816;1.098;1.063;1.345;0.161;10;10;0
11.08.2025 16:54:16.333;10;8;13;3.957;2527.039;1.121;1.091;1.360;0.181;10;10;0
11.08.2025 16:54:16.333;10;8;14;3.370;2967.535;1.114;1.005;1.778;0.297;10;10;0
11.08.2025 16:54:16.333;10;8;15;4.299;2326.339;1.286;0.986;3.171;0.660;10;10;0
11.08.2025 16:54:16.333;10;8;16;3.425;2920.049;1.170;1.050;2.130;0.376;10;10;0
11.08.2025 16:54:16.333;10;8;17;3.024;3306.441;0.916;0.894;1.245;0.122;10;10;0
11.08.2025 16:54:16.333;10;8;18;4.550;2198.044;1.220;1.227;1.404;0.112;10;10;0
11.08.2025 16:54:16.333;10;8;19;3.001;3332.001;1.137;1.033;1.648;0.271;10;10;0
11.08.2025 16:54:16.333;10;8;20;3.233;3092.815;0.909;0.883;1.081;0.091;10;10;0
11.08.2025 16:54:16.333;10;8;21;3.908;2558.657;1.228;1.095;2.434;0.430;10;10;0
11.08.2025 16:54:16.333;10;8;22;3.741;2673.225;1.217;1.124;2.013;0.368;10;10;0
11.08.2025 16:54:16.333;10;8;23;2.851;3508.033;0.952;0.861;1.449;0.208;10;10;0
11.08.2025 16:54:16.333;10;8;24;4.702;2126.619;1.177;1.107;1.565;0.201;10;10;0
11.08.2025 16:54:16.333;10;8;25;3.658;2733.809;1.086;0.997;1.457;0.212;10;10;0
11.08.2025 16:54:16.333;10;8;26;3.120;3204.717;0.957;0.950;1.161;0.112;10;10;0
11.08.2025 16:54:16.333;10;8;27;4.457;2243.712;1.143;1.068;1.572;0.214;10;10;0
11.08.2025 16:54:16.333;10;8;28;4.573;2186.605;1.327;1.106;2.205;0.440;10;10;0
11.08.2025 16:54:16.333;10;8;29;2.882;3469.331;0.992;0.980;1.227;0.138;10;10;0
11.08.2025 16:54:16.333;10;8;30;4.702;2126.755;1.038;1.018;1.309;0.157;10;10;0
11.08.2025 16:54:16.333;10;8;31;4.287;2332.688;1.007;0.926;1.435;0.182;10;10;0
11.08.2025 16:54:16.333;10;8;32;3.528;2834.628;0.953;0.881;1.426;0.179;10;10;0
11.08.2025 16:54:16.333;10;8;33;6.065;1648.696;1.335;1.251;1.749;0.276;10;10;0
