zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:48:17.521;1000;4;0;372.583;2683.966;1.463;1.360;2.139;0.358;1000;1000;0
11.08.2025 16:48:17.521;1000;4;1;345.565;2893.816;1.362;1.286;1.766;0.339;1000;1000;0
11.08.2025 16:48:17.521;1000;4;2;295.575;3383.235;1.166;1.120;1.532;0.207;1000;1000;0
11.08.2025 16:48:17.521;1000;4;3;321.301;3112.342;1.268;1.229;1.706;0.262;1000;1000;0
11.08.2025 16:48:17.521;1000;4;4;345.585;2893.647;1.362;1.275;1.741;0.441;1000;1000;0
11.08.2025 16:48:17.521;1000;4;5;304.644;3282.518;1.199;1.132;1.597;0.313;1000;1000;0
11.08.2025 16:48:17.521;1000;4;6;358.069;2792.757;1.403;1.310;1.871;0.388;1000;1000;0
11.08.2025 16:48:17.521;1000;4;7;342.758;2917.508;1.353;1.274;1.786;0.346;1000;1000;0
11.08.2025 16:48:17.521;1000;4;8;310.216;3223.559;1.222;1.185;1.561;0.210;1000;1000;0
11.08.2025 16:48:17.521;1000;4;9;315.010;3174.502;1.242;1.188;1.654;0.367;1000;1000;0
11.08.2025 16:48:17.521;1000;4;10;337.139;2966.133;1.331;1.269;1.719;0.234;1000;1000;0
11.08.2025 16:48:17.521;1000;4;11;389.091;2570.094;1.534;1.337;2.283;0.874;1000;1000;0
11.08.2025 16:48:17.521;1000;4;12;328.923;3040.223;1.294;1.207;1.824;0.331;1000;1000;0
11.08.2025 16:48:17.521;1000;4;13;304.041;3289.034;1.200;1.158;1.512;0.192;1000;1000;0
11.08.2025 16:48:17.521;1000;4;14;294.055;3400.726;1.159;1.105;1.525;0.262;1000;1000;0
11.08.2025 16:48:17.521;1000;4;15;295.393;3385.318;1.165;1.116;1.536;0.228;1000;1000;0
11.08.2025 16:48:17.521;1000;4;16;355.080;2816.265;1.401;1.330;1.894;0.477;1000;1000;0
11.08.2025 16:48:17.521;1000;4;17;352.704;2835.235;1.389;1.313;1.857;0.357;1000;1000;0
11.08.2025 16:48:17.521;1000;4;18;340.693;2935.196;1.337;1.260;1.801;0.309;1000;1000;0
11.08.2025 16:48:17.521;1000;4;19;292.999;3412.979;1.153;1.097;1.507;0.255;1000;1000;0
11.08.2025 16:48:17.521;1000;4;20;288.160;3470.294;1.135;1.097;1.428;0.194;1000;1000;0
11.08.2025 16:48:17.521;1000;4;21;359.856;2778.889;1.422;1.369;1.862;0.464;1000;1000;0
11.08.2025 16:48:17.521;1000;4;22;389.445;2567.757;1.532;1.314;2.529;0.875;1000;1000;0
11.08.2025 16:48:17.521;1000;4;23;318.830;3136.464;1.250;1.179;1.678;0.304;1000;1000;0
11.08.2025 16:48:17.521;1000;4;24;285.347;3504.505;1.125;1.088;1.438;0.210;1000;1000;0
11.08.2025 16:48:17.521;1000;4;25;347.045;2881.472;1.369;1.303;1.787;0.321;1000;1000;0
11.08.2025 16:48:17.521;1000;4;26;323.289;3093.212;1.272;1.219;1.633;0.303;1000;1000;0
11.08.2025 16:48:17.521;1000;4;27;329.007;3039.452;1.299;1.237;1.683;0.269;1000;1000;0
11.08.2025 16:48:17.521;1000;4;28;290.441;3443.045;1.144;1.109;1.496;0.179;1000;1000;0
11.08.2025 16:48:17.521;1000;4;29;321.236;3112.975;1.264;1.218;1.733;0.327;1000;1000;0
11.08.2025 16:48:17.521;1000;4;30;341.427;2928.881;1.346;1.281;1.786;0.265;1000;1000;0
11.08.2025 16:48:17.521;1000;4;31;311.205;3213.315;1.228;1.113;1.723;0.554;1000;1000;0
11.08.2025 16:48:17.521;1000;4;32;344.157;2905.651;1.358;1.244;1.820;0.884;1000;1000;0
11.08.2025 16:48:17.521;1000;4;33;370.880;2696.289;1.466;1.264;2.032;1.072;1000;1000;0
11.08.2025 16:48:17.521;1000;4;34;301.202;3320.028;1.186;1.138;1.507;0.194;1000;1000;0
11.08.2025 16:48:17.521;1000;4;35;316.105;3163.511;1.246;1.176;1.762;0.309;1000;1000;0
11.08.2025 16:48:17.521;1000;4;36;344.016;2906.845;1.356;1.293;1.796;0.279;1000;1000;0
11.08.2025 16:48:17.521;1000;4;37;330.662;3024.239;1.304;1.245;1.689;0.312;1000;1000;0
11.08.2025 16:48:17.521;1000;4;38;311.135;3214.043;1.226;1.185;1.625;0.268;1000;1000;0
11.08.2025 16:48:17.521;1000;4;39;287.538;3477.796;1.134;1.072;1.512;0.234;1000;1000;0
11.08.2025 16:48:17.521;1000;4;40;343.853;2908.220;1.355;1.283;1.754;0.321;1000;1000;0
11.08.2025 16:48:17.521;1000;4;41;307.459;3252.471;1.213;1.173;1.591;0.231;1000;1000;0
11.08.2025 16:48:17.521;1000;4;42;296.741;3369.942;1.169;1.123;1.490;0.194;1000;1000;0
11.08.2025 16:48:17.521;1000;4;43;281.084;3557.658;1.108;1.051;1.481;0.245;1000;1000;0
11.08.2025 16:48:17.521;1000;4;44;348.880;2866.312;1.375;1.319;1.816;0.530;1000;1000;0
11.08.2025 16:48:17.521;1000;4;45;380.638;2627.167;1.490;1.322;2.101;0.870;1000;1000;0
11.08.2025 16:48:17.521;1000;4;46;318.240;3142.279;1.255;1.193;1.656;0.312;1000;1000;0
11.08.2025 16:48:17.521;1000;4;47;292.863;3414.561;1.153;1.079;1.539;0.252;1000;1000;0
11.08.2025 16:48:17.521;1000;4;48;345.645;2893.138;1.363;1.276;1.890;0.312;1000;1000;0
11.08.2025 16:48:17.521;1000;4;49;299.066;3343.748;1.179;1.128;1.553;0.229;1000;1000;0
11.08.2025 16:48:17.521;1000;4;50;294.072;3400.528;1.158;1.100;1.530;0.231;1000;1000;0
11.08.2025 16:48:17.521;1000;4;51;340.061;2940.650;1.342;1.280;1.754;0.288;1000;1000;0
