zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:53:49.002;100;8;0;29.802;3355.479;1.248;1.123;2.092;0.420;100;100;0
11.08.2025 16:53:49.002;100;8;1;29.830;3352.375;1.379;1.101;2.495;1.133;100;100;0
11.08.2025 16:53:49.002;100;8;2;23.781;4205.055;1.385;1.107;1.910;1.577;100;100;0
11.08.2025 16:53:49.002;100;8;3;37.424;2672.111;1.522;1.051;2.118;2.048;100;100;0
11.08.2025 16:53:49.002;100;8;4;53.049;1885.039;1.467;1.154;3.318;0.860;100;100;0
11.08.2025 16:53:49.002;100;8;5;36.899;2710.079;1.530;1.076;3.541;1.824;100;100;0
11.08.2025 16:53:49.002;100;8;6;45.838;2181.606;1.472;1.250;2.322;1.030;100;100;0
11.08.2025 16:53:49.002;100;8;7;27.592;3624.278;1.528;1.020;3.724;2.003;100;100;0
11.08.2025 16:53:49.002;100;8;8;41.021;2437.788;2.261;1.135;8.849;4.469;100;100;0
11.08.2025 16:53:49.002;100;8;9;24.331;4110.051;1.323;1.003;3.336;1.096;100;100;0
11.08.2025 16:53:49.002;100;8;10;22.536;4437.404;1.372;1.012;2.801;1.456;100;100;0
11.08.2025 16:53:49.002;100;8;11;25.221;3965.013;1.333;1.120;2.358;0.750;100;100;0
11.08.2025 16:53:49.002;100;8;12;24.591;4066.561;1.206;1.054;1.708;0.713;100;100;0
11.08.2025 16:53:49.002;100;8;13;22.419;4460.443;1.230;1.060;1.551;0.838;100;100;0
11.08.2025 16:53:49.002;100;8;14;22.817;4382.620;1.556;1.130;2.830;2.036;100;100;0
11.08.2025 16:53:49.002;100;8;15;20.948;4773.839;1.398;1.060;2.639;1.383;100;100;0
11.08.2025 16:53:49.002;100;8;16;22.019;4541.470;1.507;1.209;2.972;1.603;100;100;0
11.08.2025 16:53:49.002;100;8;17;24.603;4064.479;1.436;1.098;1.827;1.822;100;100;0
11.08.2025 16:53:49.002;100;8;18;25.200;3968.301;1.713;1.189;2.212;2.804;100;100;0
11.08.2025 16:53:49.002;100;8;19;23.563;4243.906;1.326;1.104;1.929;0.949;100;100;0
11.08.2025 16:53:49.002;100;8;20;25.785;3878.194;1.519;1.230;1.913;1.514;100;100;0
11.08.2025 16:53:49.002;100;8;21;25.654;3897.997;1.697;1.074;4.602;2.500;100;100;0
11.08.2025 16:53:49.002;100;8;22;21.965;4552.718;1.433;1.075;2.210;1.806;100;100;0
11.08.2025 16:53:49.002;100;8;23;23.543;4247.475;1.343;1.158;2.046;0.790;100;100;0
11.08.2025 16:53:49.002;100;8;24;22.515;4441.582;1.517;1.061;2.804;1.860;100;100;0
11.08.2025 16:53:49.002;100;8;25;33.616;2974.809;1.636;1.484;2.411;0.531;100;100;0
11.08.2025 16:53:49.002;100;8;26;34.339;2912.158;1.895;1.483;2.409;2.721;100;100;0
11.08.2025 16:53:49.002;100;8;27;42.297;2364.262;1.718;1.474;2.328;0.949;100;100;0
11.08.2025 16:53:49.002;100;8;28;41.646;2401.214;2.396;1.532;4.218;4.240;100;100;0
11.08.2025 16:53:49.002;100;8;29;55.984;1786.215;3.033;1.415;14.413;5.924;100;100;0
11.08.2025 16:53:49.002;100;8;30;51.005;1960.604;1.724;1.388;2.285;2.171;100;100;0
11.08.2025 16:53:49.002;100;8;31;32.991;3031.111;1.467;1.360;1.917;0.448;100;100;0
11.08.2025 16:53:49.002;100;8;32;33.377;2996.057;1.893;1.483;2.460;2.813;100;100;0
11.08.2025 16:53:49.002;100;8;33;27.223;3673.324;1.827;1.364;2.291;2.294;100;100;0
11.08.2025 16:53:49.002;100;8;34;29.426;3398.413;1.686;1.389;2.258;1.313;100;100;0
11.08.2025 16:53:49.002;100;8;35;23.873;4188.815;1.693;1.309;2.498;1.521;100;100;0
11.08.2025 16:53:49.002;100;8;36;48.635;2056.149;2.333;1.677;3.824;2.628;100;100;0
11.08.2025 16:53:49.002;100;8;37;39.526;2529.955;2.042;1.617;3.910;1.429;100;100;0
11.08.2025 16:53:49.002;100;8;38;32.625;3065.097;2.041;1.310;2.462;3.487;100;100;0
11.08.2025 16:53:49.002;100;8;39;28.238;3541.290;1.515;1.306;2.196;1.093;100;100;0
11.08.2025 16:53:49.002;100;8;40;28.871;3463.695;1.682;1.348;1.935;2.502;100;100;0
11.08.2025 16:53:49.002;100;8;41;30.354;3294.513;1.997;1.281;3.245;3.071;100;100;0
11.08.2025 16:53:49.002;100;8;42;29.104;3435.942;1.503;1.385;2.001;0.634;100;100;0
11.08.2025 16:53:49.002;100;8;43;29.570;3381.817;1.656;1.326;2.128;1.283;100;100;0
11.08.2025 16:53:49.002;100;8;44;32.602;3067.334;1.708;1.336;3.104;1.309;100;100;0
11.08.2025 16:53:49.002;100;8;45;26.633;3754.783;1.551;1.335;2.786;0.821;100;100;0
11.08.2025 16:53:49.002;100;8;46;27.999;3571.569;1.619;1.183;2.188;2.336;100;100;0
11.08.2025 16:53:49.002;100;8;47;28.423;3518.290;1.464;1.167;2.849;1.037;100;100;0
11.08.2025 16:53:49.002;100;8;48;28.662;3488.904;1.480;1.349;2.098;0.743;100;100;0
11.08.2025 16:53:49.002;100;8;49;26.472;3777.576;1.483;1.219;2.176;1.111;100;100;0
11.08.2025 16:53:49.002;100;8;50;24.431;4093.194;1.602;1.144;2.570;1.931;100;100;0
11.08.2025 16:53:49.002;100;8;51;49.395;2024.480;2.658;1.335;7.854;4.798;100;100;0
11.08.2025 16:53:49.002;100;8;52;39.113;2556.669;1.840;1.338;2.555;2.640;100;100;0
11.08.2025 16:53:49.002;100;8;53;58.238;1717.092;2.380;1.416;4.642;5.169;100;100;0
11.08.2025 16:53:49.002;100;8;54;36.054;2773.633;2.578;1.865;6.111;3.411;100;100;0
11.08.2025 16:53:49.002;100;8;55;33.285;3004.365;1.735;1.542;2.276;1.406;100;100;0
11.08.2025 16:53:49.002;100;8;56;42.136;2373.256;1.535;1.321;2.449;0.643;100;100;0
11.08.2025 16:53:49.002;100;8;57;47.533;2103.784;1.821;1.405;2.826;1.387;100;100;0
11.08.2025 16:53:49.002;100;8;58;41.901;2386.561;2.013;1.538;4.520;2.101;100;100;0
11.08.2025 16:53:49.002;100;8;59;37.958;2634.498;2.119;1.416;2.677;3.897;100;100;0
11.08.2025 16:53:49.002;100;8;60;28.591;3497.653;1.848;1.261;3.126;2.690;100;100;0
11.08.2025 16:53:49.002;100;8;61;23.800;4201.610;1.485;1.142;4.135;0.917;100;100;0
11.08.2025 16:53:49.002;100;8;62;32.056;3119.570;1.716;1.395;2.175;2.272;100;100;0
11.08.2025 16:53:49.002;100;8;63;33.478;2987.081;1.536;1.152;2.270;2.313;100;100;0
11.08.2025 16:53:49.002;100;8;64;38.730;2581.951;2.062;1.247;3.694;3.342;100;100;0
11.08.2025 16:53:49.002;100;8;65;22.309;4482.415;1.339;1.144;1.436;1.353;100;100;0
11.08.2025 16:53:49.002;100;8;66;30.217;3309.395;1.663;1.229;2.069;2.202;100;100;0
11.08.2025 16:53:49.002;100;8;67;23.637;4230.745;1.574;1.154;3.893;1.342;100;100;0
11.08.2025 16:53:49.002;100;8;68;22.041;4537.082;1.464;1.131;2.993;1.501;100;100;0
11.08.2025 16:53:49.002;100;8;69;23.178;4314.511;1.625;1.208;2.378;1.789;100;100;0
11.08.2025 16:53:49.002;100;8;70;22.933;4360.471;1.549;1.061;4.160;1.523;100;100;0
11.08.2025 16:53:49.002;100;8;71;26.814;3729.437;1.314;1.131;1.954;0.822;100;100;0
11.08.2025 16:53:49.002;100;8;72;23.334;4285.629;1.441;1.132;1.531;1.904;100;100;0
11.08.2025 16:53:49.002;100;8;73;24.726;4044.293;1.597;1.098;2.873;2.225;100;100;0
11.08.2025 16:53:49.002;100;8;74;28.987;3449.799;1.387;1.089;3.279;1.193;100;100;0
11.08.2025 16:53:49.002;100;8;75;30.996;3226.244;1.873;1.457;3.319;1.701;100;100;0
11.08.2025 16:53:49.002;100;8;76;36.487;2740.732;1.714;1.526;2.870;0.728;100;100;0
11.08.2025 16:53:49.002;100;8;77;29.394;3402.113;1.950;1.650;2.778;2.146;100;100;0
11.08.2025 16:53:49.002;100;8;78;29.437;3397.097;1.697;1.398;3.128;1.573;100;100;0
11.08.2025 16:53:49.002;100;8;79;25.658;3897.390;1.619;1.376;1.985;1.495;100;100;0
11.08.2025 16:53:49.002;100;8;80;31.320;3192.828;2.013;1.401;6.303;1.916;100;100;0
11.08.2025 16:53:49.002;100;8;81;34.533;2895.747;1.407;1.298;1.900;0.422;100;100;0
11.08.2025 16:53:49.002;100;8;82;27.778;3600.036;1.511;1.299;2.226;0.749;100;100;0
