zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:34:41.858;10000;4;0;3901.256;2563.277;1.546;1.245;2.277;2.356;10000;10000;0
11.08.2025 16:34:41.858;10000;4;1;3407.648;2934.575;1.345;1.237;1.872;0.649;10000;10000;0
11.08.2025 16:34:41.858;10000;4;2;3301.894;3028.565;1.303;1.203;1.778;0.760;10000;10000;0
11.08.2025 16:34:41.858;10000;4;3;3344.171;2990.277;1.321;1.227;1.839;0.524;10000;10000;0
11.08.2025 16:34:41.858;10000;4;4;3243.471;3083.117;1.280;1.196;1.777;0.456;10000;10000;0
11.08.2025 16:34:41.858;10000;4;5;3283.812;3045.241;1.294;1.214;1.755;0.471;10000;10000;0
11.08.2025 16:34:41.858;10000;4;6;3319.296;3012.687;1.308;1.227;1.787;0.530;10000;10000;0
11.08.2025 16:34:41.858;10000;4;7;3387.540;2951.995;1.339;1.263;1.834;0.648;10000;10000;0
11.08.2025 16:34:41.858;10000;4;8;3301.053;3029.337;1.304;1.221;1.786;0.539;10000;10000;0
11.08.2025 16:34:41.858;10000;4;9;3475.803;2877.033;1.375;1.222;2.008;1.005;10000;10000;0
11.08.2025 16:34:41.858;10000;4;10;3629.840;2754.943;1.429;1.215;2.263;1.373;10000;10000;0
11.08.2025 16:34:41.858;10000;4;11;3292.535;3037.173;1.301;1.222;1.784;0.457;10000;10000;0
11.08.2025 16:34:41.858;10000;4;12;3351.631;2983.622;1.322;1.228;1.803;0.794;10000;10000;0
11.08.2025 16:34:41.858;10000;4;13;3249.073;3077.801;1.282;1.212;1.780;0.394;10000;10000;0
11.08.2025 16:34:41.858;10000;4;14;3221.018;3104.609;1.269;1.195;1.731;0.492;10000;10000;0
11.08.2025 16:34:41.858;10000;4;15;3220.305;3105.296;1.269;1.194;1.725;0.400;10000;10000;0
11.08.2025 16:34:41.858;10000;4;16;3353.208;2982.219;1.322;1.235;1.821;0.474;10000;10000;0
11.08.2025 16:34:41.858;10000;4;17;3251.159;3075.826;1.283;1.208;1.773;0.436;10000;10000;0
