zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:55:18.129;10;1;0;6.346;1575.771;0.634;0.559;0.948;0.205;10;10;0
11.08.2025 16:55:18.129;10;1;1;6.280;1592.357;0.627;0.560;0.925;0.140;10;10;0
11.08.2025 16:55:18.129;10;1;2;5.068;1973.321;0.506;0.519;0.647;0.068;10;10;0
11.08.2025 16:55:18.129;10;1;3;7.483;1336.327;0.747;0.637;1.288;0.220;10;10;0
11.08.2025 16:55:18.129;10;1;4;4.922;2031.777;0.492;0.477;0.607;0.051;10;10;0
11.08.2025 16:55:18.129;10;1;5;9.179;1089.431;0.917;0.753;1.898;0.372;10;10;0
11.08.2025 16:55:18.129;10;1;6;8.408;1189.315;0.840;0.807;1.079;0.120;10;10;0
11.08.2025 16:55:18.129;10;1;7;7.728;1293.962;0.772;0.643;1.516;0.281;10;10;0
11.08.2025 16:55:18.129;10;1;8;8.463;1181.642;0.845;0.812;1.076;0.117;10;10;0
11.08.2025 16:55:18.129;10;1;9;7.276;1374.344;0.727;0.573;1.329;0.275;10;10;0
11.08.2025 16:55:18.129;10;1;10;9.418;1061.751;0.940;0.920;1.453;0.226;10;10;0
11.08.2025 16:55:18.129;10;1;11;7.058;1416.832;0.705;0.752;0.881;0.134;10;10;0
11.08.2025 16:55:18.129;10;1;12;7.336;1363.141;0.733;0.571;1.356;0.282;10;10;0
11.08.2025 16:55:18.129;10;1;13;7.595;1316.742;0.758;0.740;1.219;0.202;10;10;0
11.08.2025 16:55:18.129;10;1;14;9.626;1038.842;0.962;0.859;1.562;0.241;10;10;0
11.08.2025 16:55:18.129;10;1;15;9.431;1060.378;0.942;0.678;2.321;0.515;10;10;0
11.08.2025 16:55:18.129;10;1;16;6.909;1447.492;0.690;0.595;0.947;0.138;10;10;0
11.08.2025 16:55:18.129;10;1;17;6.756;1480.253;0.675;0.538;1.032;0.202;10;10;0
11.08.2025 16:55:18.129;10;1;18;6.536;1529.941;0.653;0.580;0.936;0.154;10;10;0
11.08.2025 16:55:18.129;10;1;19;6.520;1533.766;0.651;0.545;1.038;0.183;10;10;0
11.08.2025 16:55:18.129;10;1;20;6.418;1558.239;0.641;0.609;0.783;0.095;10;10;0
11.08.2025 16:55:18.129;10;1;21;6.924;1444.231;0.692;0.525;1.237;0.265;10;10;0
11.08.2025 16:55:18.129;10;1;22;7.047;1419.084;0.704;0.678;1.077;0.150;10;10;0
11.08.2025 16:55:18.129;10;1;23;8.228;1215.421;0.822;0.696;1.086;0.186;10;10;0
11.08.2025 16:55:18.129;10;1;24;8.632;1158.453;0.862;0.750;1.533;0.239;10;10;0
11.08.2025 16:55:18.129;10;1;25;6.189;1615.718;0.618;0.562;0.850;0.103;10;10;0
11.08.2025 16:55:18.129;10;1;26;8.053;1241.758;0.804;0.766;1.228;0.190;10;10;0
11.08.2025 16:55:18.129;10;1;27;7.598;1316.101;0.759;0.729;0.898;0.071;10;10;0
11.08.2025 16:55:18.129;10;1;28;8.000;1249.969;0.799;0.660;2.016;0.424;10;10;0
11.08.2025 16:55:18.129;10;1;29;8.492;1177.579;0.848;0.729;1.331;0.201;10;10;0
11.08.2025 16:55:18.129;10;1;30;6.362;1571.907;0.635;0.620;0.716;0.041;10;10;0
11.08.2025 16:55:18.129;10;1;31;5.989;1669.811;0.598;0.555;0.812;0.096;10;10;0
11.08.2025 16:55:18.129;10;1;32;6.522;1533.248;0.651;0.602;0.794;0.072;10;10;0
11.08.2025 16:55:18.129;10;1;33;6.476;1544.187;0.647;0.640;0.846;0.099;10;10;0
11.08.2025 16:55:18.129;10;1;34;6.776;1475.862;0.677;0.516;0.976;0.201;10;10;0
11.08.2025 16:55:18.129;10;1;35;7.833;1276.617;0.782;0.732;1.370;0.228;10;10;0
11.08.2025 16:55:18.129;10;1;36;5.838;1712.798;0.583;0.525;0.739;0.096;10;10;0
11.08.2025 16:55:18.129;10;1;37;4.973;2010.818;0.497;0.470;0.697;0.068;10;10;0
11.08.2025 16:55:18.129;10;1;38;7.794;1283.121;0.778;0.494;2.011;0.450;10;10;0
