zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:52:55.408;100;2;0;67.682;1477.491;1.311;1.284;1.644;0.155;100;100;0
11.08.2025 16:52:55.408;100;2;1;65.847;1518.679;1.279;1.256;1.526;0.136;100;100;0
11.08.2025 16:52:55.408;100;2;2;70.538;1417.682;1.369;1.304;1.735;0.205;100;100;0
11.08.2025 16:52:55.408;100;2;3;66.325;1507.718;1.286;1.253;1.669;0.160;100;100;0
11.08.2025 16:52:55.408;100;2;4;73.425;1361.941;1.389;1.265;1.959;0.426;100;100;0
11.08.2025 16:52:55.408;100;2;5;68.235;1465.528;1.281;1.214;1.663;0.278;100;100;0
11.08.2025 16:52:55.408;100;2;6;65.087;1536.405;1.267;1.202;1.581;0.204;100;100;0
11.08.2025 16:52:55.408;100;2;7;57.650;1734.593;1.113;1.087;1.386;0.145;100;100;0
11.08.2025 16:52:55.408;100;2;8;67.944;1471.811;1.288;1.281;1.645;0.269;100;100;0
11.08.2025 16:52:55.408;100;2;9;73.152;1367.013;1.417;1.394;1.619;0.131;100;100;0
11.08.2025 16:52:55.408;100;2;10;78.670;1271.136;1.522;1.481;1.801;0.182;100;100;0
11.08.2025 16:52:55.408;100;2;11;67.147;1489.281;1.301;1.259;1.585;0.141;100;100;0
11.08.2025 16:52:55.408;100;2;12;70.541;1417.617;1.358;1.309;1.713;0.194;100;100;0
11.08.2025 16:52:55.408;100;2;13;67.643;1478.343;1.291;1.246;1.561;0.218;100;100;0
11.08.2025 16:52:55.408;100;2;14;87.697;1140.295;1.700;1.330;2.083;2.241;100;100;0
11.08.2025 16:52:55.408;100;2;15;68.308;1463.957;1.296;1.235;1.630;0.233;100;100;0
11.08.2025 16:52:55.408;100;2;16;72.887;1371.991;1.396;1.318;1.962;0.271;100;100;0
