zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:23:16.563;10000;2;0;5997.573;1667.341;1.174;1.138;1.517;0.280;10000;10000;0
11.08.2025 16:23:16.563;10000;2;1;6283.473;1591.477;1.237;1.178;1.660;0.533;10000;10000;0
11.08.2025 16:23:16.563;10000;2;2;6130.593;1631.164;1.206;1.131;1.718;0.392;10000;10000;0
11.08.2025 16:23:16.563;10000;2;3;6013.745;1662.857;1.184;1.139;1.527;0.343;10000;10000;0
11.08.2025 16:23:16.563;10000;2;4;5780.569;1729.933;1.139;1.094;1.472;0.267;10000;10000;0
11.08.2025 16:23:16.563;10000;2;5;6274.665;1593.711;1.236;1.171;1.672;0.481;10000;10000;0
11.08.2025 16:23:16.563;10000;2;6;6021.009;1660.851;1.186;1.146;1.519;0.300;10000;10000;0
11.08.2025 16:23:16.563;10000;2;7;5971.526;1674.614;1.174;1.142;1.511;0.259;10000;10000;0
11.08.2025 16:23:16.563;10000;2;8;6049.670;1652.983;1.192;1.165;1.514;0.275;10000;10000;0
11.08.2025 16:23:16.563;10000;2;9;6368.970;1570.113;1.256;1.174;1.636;1.069;10000;10000;0
11.08.2025 16:23:16.563;10000;2;10;6086.471;1642.988;1.199;1.160;1.543;0.341;10000;10000;0
11.08.2025 16:23:16.563;10000;2;11;5766.427;1734.176;1.134;1.093;1.470;0.263;10000;10000;0
11.08.2025 16:23:16.563;10000;2;12;5878.422;1701.137;1.158;1.120;1.495;0.253;10000;10000;0
11.08.2025 16:23:16.563;10000;2;13;6624.404;1509.570;1.304;1.246;1.725;0.574;10000;10000;0
11.08.2025 16:23:16.563;10000;2;14;5895.242;1696.283;1.161;1.114;1.505;0.272;10000;10000;0
11.08.2025 16:23:16.563;10000;2;15;5923.823;1688.099;1.165;1.136;1.468;0.274;10000;10000;0
11.08.2025 16:23:16.563;10000;2;16;5928.360;1686.807;1.166;1.141;1.487;0.278;10000;10000;0
