zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:47:20.570;1000;8;0;227.066;4404.000;1.551;1.230;3.520;1.414;1000;1000;0
11.08.2025 16:47:20.570;1000;8;1;239.348;4178.017;1.807;1.222;2.412;6.374;1000;1000;0
11.08.2025 16:47:20.570;1000;8;2;238.730;4188.829;1.741;1.340;3.082;3.743;1000;1000;0
11.08.2025 16:47:20.570;1000;8;3;235.132;4252.934;1.834;1.372;3.772;1.999;1000;1000;0
11.08.2025 16:47:20.570;1000;8;4;208.582;4794.278;1.641;1.277;2.318;1.854;1000;1000;0
11.08.2025 16:47:20.570;1000;8;5;259.121;3859.201;1.960;1.133;3.596;6.239;1000;1000;0
11.08.2025 16:47:20.570;1000;8;6;257.807;3878.878;1.795;1.173;3.073;3.375;1000;1000;0
11.08.2025 16:47:20.570;1000;8;7;221.796;4508.644;1.734;1.198;2.687;4.340;1000;1000;0
11.08.2025 16:47:20.570;1000;8;8;263.391;3796.635;1.985;1.349;3.664;3.517;1000;1000;0
11.08.2025 16:47:20.570;1000;8;9;242.408;4125.278;1.771;1.285;2.792;3.862;1000;1000;0
11.08.2025 16:47:20.570;1000;8;10;236.503;4228.273;1.817;1.274;2.739;5.695;1000;1000;0
11.08.2025 16:47:20.570;1000;8;11;282.298;3542.352;2.049;1.355;3.536;6.839;1000;1000;0
11.08.2025 16:47:20.570;1000;8;12;293.367;3408.697;2.282;1.428;3.087;11.902;1000;1000;0
11.08.2025 16:47:20.570;1000;8;13;235.689;4242.888;1.775;1.231;2.826;4.252;1000;1000;0
11.08.2025 16:47:20.570;1000;8;14;207.091;4828.800;1.417;1.113;2.357;1.346;1000;1000;0
11.08.2025 16:47:20.570;1000;8;15;318.193;3142.743;2.479;1.567;7.394;3.836;1000;1000;0
11.08.2025 16:47:20.570;1000;8;16;247.856;4034.602;1.864;1.289;2.266;7.691;1000;1000;0
11.08.2025 16:47:20.570;1000;8;17;209.179;4780.599;1.559;1.162;2.468;2.241;1000;1000;0
11.08.2025 16:47:20.570;1000;8;18;235.812;4240.663;1.858;1.179;3.333;4.366;1000;1000;0
11.08.2025 16:47:20.570;1000;8;19;261.896;3818.310;2.049;1.319;3.869;3.788;1000;1000;0
