zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:54:56.490;10;2;0;4.947;2021.550;0.838;0.813;0.988;0.077;10;10;0
11.08.2025 16:54:56.490;10;2;1;4.784;2090.257;0.810;0.730;1.120;0.156;10;10;0
11.08.2025 16:54:56.490;10;2;2;4.414;2265.673;0.724;0.713;0.882;0.083;10;10;0
11.08.2025 16:54:56.490;10;2;3;4.961;2015.845;0.840;0.812;1.021;0.103;10;10;0
11.08.2025 16:54:56.490;10;2;4;5.466;1829.391;0.944;0.885;1.140;0.101;10;10;0
11.08.2025 16:54:56.490;10;2;5;5.775;1731.662;0.948;0.924;1.166;0.102;10;10;0
11.08.2025 16:54:56.490;10;2;6;5.489;1821.859;0.935;0.837;1.418;0.206;10;10;0
11.08.2025 16:54:56.490;10;2;7;5.419;1845.495;0.919;0.890;1.065;0.067;10;10;0
11.08.2025 16:54:56.490;10;2;8;5.706;1752.449;0.980;0.867;1.316;0.187;10;10;0
11.08.2025 16:54:56.490;10;2;9;5.072;1971.609;0.856;0.808;1.088;0.113;10;10;0
11.08.2025 16:54:56.490;10;2;10;6.291;1589.648;0.993;0.939;1.376;0.163;10;10;0
11.08.2025 16:54:56.490;10;2;11;5.255;1902.950;0.883;0.821;1.147;0.116;10;10;0
11.08.2025 16:54:56.490;10;2;12;6.758;1479.793;1.158;0.954;2.085;0.380;10;10;0
11.08.2025 16:54:56.490;10;2;13;5.162;1937.346;0.840;0.760;1.140;0.129;10;10;0
11.08.2025 16:54:56.490;10;2;14;6.134;1630.258;1.072;0.948;1.361;0.174;10;10;0
11.08.2025 16:54:56.490;10;2;15;5.998;1667.278;1.005;0.928;1.312;0.154;10;10;0
11.08.2025 16:54:56.490;10;2;16;5.898;1695.404;1.018;1.015;1.178;0.075;10;10;0
11.08.2025 16:54:56.490;10;2;17;5.539;1805.543;0.915;0.796;1.305;0.179;10;10;0
11.08.2025 16:54:56.490;10;2;18;6.071;1647.229;0.981;0.953;1.111;0.071;10;10;0
11.08.2025 16:54:56.490;10;2;19;5.723;1747.305;0.914;0.837;1.375;0.219;10;10;0
11.08.2025 16:54:56.490;10;2;20;5.408;1849.010;0.896;0.855;1.013;0.071;10;10;0
11.08.2025 16:54:56.490;10;2;21;5.786;1728.280;0.992;0.863;1.320;0.191;10;10;0
11.08.2025 16:54:56.490;10;2;22;4.956;2017.838;0.829;0.788;1.057;0.107;10;10;0
