zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:53:26.588;100;4;0;24.944;4008.996;0.925;0.859;1.228;0.250;100;100;0
11.08.2025 16:53:26.588;100;4;1;23.037;4340.900;0.860;0.837;1.024;0.080;100;100;0
11.08.2025 16:53:26.588;100;4;2;36.246;2758.956;1.320;1.193;2.012;0.549;100;100;0
11.08.2025 16:53:26.588;100;4;3;46.166;2166.106;1.394;1.111;2.351;1.109;100;100;0
11.08.2025 16:53:26.588;100;4;4;39.620;2523.978;1.404;1.263;1.942;0.650;100;100;0
11.08.2025 16:53:26.588;100;4;5;52.314;1911.531;1.771;1.516;2.903;1.072;100;100;0
11.08.2025 16:53:26.588;100;4;6;51.594;1938.202;1.831;1.672;2.920;0.579;100;100;0
11.08.2025 16:53:26.588;100;4;7;63.281;1580.251;2.182;1.462;3.066;3.202;100;100;0
11.08.2025 16:53:26.588;100;4;8;49.608;2015.792;1.834;1.468;2.692;1.675;100;100;0
11.08.2025 16:53:26.588;100;4;9;66.498;1503.805;2.075;1.529;2.522;2.879;100;100;0
11.08.2025 16:53:26.588;100;4;10;50.471;1981.336;1.920;1.708;3.051;0.863;100;100;0
11.08.2025 16:53:26.588;100;4;11;44.666;2238.829;1.592;1.357;2.796;0.954;100;100;0
11.08.2025 16:53:26.588;100;4;12;32.156;3109.830;1.192;1.117;1.555;0.306;100;100;0
11.08.2025 16:53:26.588;100;4;13;30.332;3296.805;1.138;1.056;1.433;0.462;100;100;0
11.08.2025 16:53:26.588;100;4;14;30.992;3226.650;1.175;1.062;1.899;0.361;100;100;0
11.08.2025 16:53:26.588;100;4;15;52.378;1909.217;1.995;1.335;2.637;2.956;100;100;0
11.08.2025 16:53:26.588;100;4;16;43.201;2314.767;1.516;1.237;3.139;0.932;100;100;0
11.08.2025 16:53:26.588;100;4;17;49.179;2033.401;1.622;1.125;2.816;1.691;100;100;0
11.08.2025 16:53:26.588;100;4;18;45.659;2190.134;1.597;1.385;2.828;0.666;100;100;0
11.08.2025 16:53:26.588;100;4;19;36.976;2704.457;1.343;1.260;1.674;0.257;100;100;0
11.08.2025 16:53:26.588;100;4;20;35.803;2793.078;1.345;1.274;1.675;0.229;100;100;0
11.08.2025 16:53:26.588;100;4;21;38.556;2593.643;1.440;1.356;1.852;0.291;100;100;0
11.08.2025 16:53:26.588;100;4;22;39.162;2553.470;1.371;1.317;1.849;0.227;100;100;0
11.08.2025 16:53:26.588;100;4;23;35.181;2842.476;1.335;1.288;1.794;0.208;100;100;0
11.08.2025 16:53:26.588;100;4;24;36.538;2736.877;1.348;1.249;1.925;0.290;100;100;0
11.08.2025 16:53:26.588;100;4;25;35.123;2847.145;1.314;1.249;1.754;0.192;100;100;0
11.08.2025 16:53:26.588;100;4;26;34.803;2873.349;1.317;1.272;1.612;0.171;100;100;0
11.08.2025 16:53:26.588;100;4;27;36.696;2725.108;1.377;1.307;1.833;0.230;100;100;0
11.08.2025 16:53:26.588;100;4;28;34.530;2896.024;1.293;1.268;1.593;0.144;100;100;0
11.08.2025 16:53:26.588;100;4;29;35.078;2850.806;1.319;1.272;1.688;0.179;100;100;0
11.08.2025 16:53:26.588;100;4;30;37.843;2642.504;1.416;1.343;1.809;0.295;100;100;0
11.08.2025 16:53:26.588;100;4;31;38.149;2621.314;1.430;1.361;1.989;0.295;100;100;0
11.08.2025 16:53:26.588;100;4;32;39.073;2559.332;1.488;1.314;1.957;0.591;100;100;0
11.08.2025 16:53:26.588;100;4;33;35.643;2805.576;1.348;1.268;1.870;0.272;100;100;0
11.08.2025 16:53:26.588;100;4;34;34.782;2875.026;1.313;1.259;1.744;0.227;100;100;0
11.08.2025 16:53:26.588;100;4;35;34.682;2883.315;1.302;1.187;1.558;0.840;100;100;0
11.08.2025 16:53:26.588;100;4;36;32.296;3096.378;1.210;1.137;1.460;0.310;100;100;0
11.08.2025 16:53:26.588;100;4;37;33.723;2965.326;1.212;1.150;1.615;0.192;100;100;0
11.08.2025 16:53:26.588;100;4;38;32.733;3055.021;1.218;1.159;1.618;0.234;100;100;0
11.08.2025 16:53:26.588;100;4;39;32.571;3070.225;1.218;1.148;1.533;0.249;100;100;0
11.08.2025 16:53:26.588;100;4;40;31.689;3155.649;1.179;1.156;1.492;0.151;100;100;0
11.08.2025 16:53:26.588;100;4;41;30.121;3319.965;1.130;1.091;1.490;0.164;100;100;0
11.08.2025 16:53:26.588;100;4;42;28.795;3472.861;1.067;1.034;1.263;0.121;100;100;0
11.08.2025 16:53:26.588;100;4;43;28.776;3475.130;1.084;1.015;1.506;0.175;100;100;0
11.08.2025 16:53:26.588;100;4;44;29.068;3440.245;1.070;1.044;1.277;0.123;100;100;0
11.08.2025 16:53:26.588;100;4;45;29.282;3415.079;1.078;1.046;1.289;0.125;100;100;0
11.08.2025 16:53:26.588;100;4;46;29.483;3391.843;1.082;1.030;1.340;0.161;100;100;0
11.08.2025 16:53:26.588;100;4;47;29.909;3343.430;1.128;1.040;1.736;0.310;100;100;0
11.08.2025 16:53:26.588;100;4;48;30.264;3304.278;1.081;1.022;1.552;0.184;100;100;0
11.08.2025 16:53:26.588;100;4;49;30.651;3262.558;1.090;1.030;1.456;0.196;100;100;0
11.08.2025 16:53:26.588;100;4;50;30.801;3246.701;1.163;1.084;1.534;0.278;100;100;0
11.08.2025 16:53:26.588;100;4;51;31.736;3150.976;1.198;1.037;1.868;0.570;100;100;0
11.08.2025 16:53:26.588;100;4;52;31.798;3144.901;1.113;1.043;1.431;0.277;100;100;0
11.08.2025 16:53:26.588;100;4;53;30.017;3331.468;1.125;1.063;1.539;0.323;100;100;0
11.08.2025 16:53:26.588;100;4;54;34.806;2873.043;1.194;1.113;1.580;0.237;100;100;0
11.08.2025 16:53:26.588;100;4;55;34.982;2858.605;1.306;1.266;1.659;0.219;100;100;0
11.08.2025 16:53:26.588;100;4;56;49.219;2031.732;1.862;1.551;4.411;0.934;100;100;0
11.08.2025 16:53:26.588;100;4;57;39.495;2531.960;1.497;1.420;2.053;0.264;100;100;0
11.08.2025 16:53:26.588;100;4;58;41.865;2388.630;1.580;1.429;2.474;0.380;100;100;0
11.08.2025 16:53:26.588;100;4;59;44.976;2223.418;1.562;1.480;1.977;0.375;100;100;0
11.08.2025 16:53:26.588;100;4;60;43.579;2294.699;1.575;1.504;2.200;0.281;100;100;0
11.08.2025 16:53:26.588;100;4;61;38.748;2580.805;1.466;1.386;1.850;0.273;100;100;0
11.08.2025 16:53:26.588;100;4;62;34.706;2881.363;1.319;1.260;1.630;0.251;100;100;0
11.08.2025 16:53:26.588;100;4;63;36.716;2723.593;1.356;1.303;1.715;0.192;100;100;0
11.08.2025 16:53:26.588;100;4;64;39.388;2538.870;1.488;1.342;1.971;0.811;100;100;0
11.08.2025 16:53:26.588;100;4;65;35.479;2818.553;1.339;1.292;1.707;0.251;100;100;0
11.08.2025 16:53:26.588;100;4;66;35.312;2831.907;1.338;1.300;1.655;0.190;100;100;0
11.08.2025 16:53:26.588;100;4;67;38.237;2615.295;1.381;1.278;1.948;0.345;100;100;0
11.08.2025 16:53:26.588;100;4;68;35.305;2832.468;1.332;1.263;1.639;0.201;100;100;0
11.08.2025 16:53:26.588;100;4;69;44.424;2251.035;1.693;1.515;2.337;0.772;100;100;0
11.08.2025 16:53:26.588;100;4;70;36.526;2737.813;1.355;1.271;1.738;0.278;100;100;0
11.08.2025 16:53:26.588;100;4;71;38.723;2582.458;1.460;1.311;2.304;0.379;100;100;0
11.08.2025 16:53:26.588;100;4;72;35.188;2841.902;1.319;1.261;1.701;0.190;100;100;0
11.08.2025 16:53:26.588;100;4;73;35.085;2850.229;1.308;1.227;1.718;0.259;100;100;0
11.08.2025 16:53:26.588;100;4;74;32.881;3041.242;1.216;1.140;1.557;0.230;100;100;0
11.08.2025 16:53:26.588;100;4;75;33.058;3024.996;1.230;1.168;1.530;0.210;100;100;0
11.08.2025 16:53:26.588;100;4;76;32.571;3070.263;1.227;1.147;1.503;0.485;100;100;0
11.08.2025 16:53:26.588;100;4;77;31.186;3206.526;1.185;1.140;1.533;0.215;100;100;0
11.08.2025 16:53:26.588;100;4;78;32.923;3037.381;1.214;1.160;1.566;0.170;100;100;0
11.08.2025 16:53:26.588;100;4;79;31.496;3174.966;1.188;1.140;1.571;0.187;100;100;0
11.08.2025 16:53:26.588;100;4;80;29.112;3434.974;1.087;1.070;1.259;0.105;100;100;0
11.08.2025 16:53:26.588;100;4;81;30.308;3299.492;1.147;1.063;1.578;0.281;100;100;0
11.08.2025 16:53:26.588;100;4;82;30.056;3327.178;1.131;1.087;1.490;0.172;100;100;0
11.08.2025 16:53:26.588;100;4;83;34.112;2931.503;1.281;1.248;1.753;0.245;100;100;0
11.08.2025 16:53:26.588;100;4;84;39.671;2520.758;1.472;1.393;1.997;0.276;100;100;0
11.08.2025 16:53:26.588;100;4;85;36.659;2727.836;1.400;1.333;1.894;0.257;100;100;0
11.08.2025 16:53:26.588;100;4;86;36.540;2736.757;1.378;1.322;1.817;0.220;100;100;0
11.08.2025 16:53:26.588;100;4;87;36.023;2776.035;1.340;1.260;1.773;0.257;100;100;0
11.08.2025 16:53:26.588;100;4;88;36.229;2760.204;1.369;1.266;1.712;0.404;100;100;0
11.08.2025 16:53:26.588;100;4;89;36.345;2751.425;1.367;1.313;1.768;0.195;100;100;0
11.08.2025 16:53:26.588;100;4;90;35.747;2797.461;1.352;1.265;1.736;0.265;100;100;0
11.08.2025 16:53:26.588;100;4;91;35.811;2792.461;1.326;1.268;1.611;0.263;100;100;0
11.08.2025 16:53:26.588;100;4;92;42.410;2357.923;1.522;1.330;2.103;0.759;100;100;0
11.08.2025 16:53:26.588;100;4;93;38.937;2568.225;1.467;1.368;1.915;0.467;100;100;0
11.08.2025 16:53:26.588;100;4;94;34.899;2865.412;1.315;1.219;1.963;0.288;100;100;0
11.08.2025 16:53:26.588;100;4;95;31.396;3185.079;1.162;1.113;1.562;0.191;100;100;0
11.08.2025 16:53:26.588;100;4;96;28.344;3528.121;1.072;1.026;1.283;0.165;100;100;0
11.08.2025 16:53:26.588;100;4;97;30.156;3316.145;1.099;1.056;1.563;0.162;100;100;0
11.08.2025 16:53:26.588;100;4;98;31.072;3218.290;1.142;1.063;1.679;0.309;100;100;0
11.08.2025 16:53:26.588;100;4;99;29.795;3356.290;1.119;1.057;1.411;0.250;100;100;0
